
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    10.0.1.39:51144        162.125.5.3:443        CLOSE_WAIT
  TCP    10.0.1.39:51171        162.125.5.7:443        CLOSE_WAIT
  TCP    10.0.1.39:51189        52.44.219.182:443      CLOSE_WAIT
  TCP    10.0.1.39:51388        162.125.5.3:443        CLOSE_WAIT
  TCP    10.0.1.39:52066        91.190.218.56:443      CLOSE_WAIT
  TCP    10.0.1.39:52070        91.190.219.38:443      CLOSE_WAIT
  TCP    10.0.1.39:52084        157.55.235.152:443     CLOSE_WAIT
  TCP    10.0.1.39:52090        91.190.216.17:443      CLOSE_WAIT
  TCP    10.0.1.39:52099        162.125.32.5:443       CLOSE_WAIT
  TCP    10.0.1.39:52434        162.125.5.3:443        TIME_WAIT
  TCP    10.0.1.39:52435        65.52.108.212:443      ESTABLISHED
  TCP    10.0.1.39:52436        65.52.108.228:443      ESTABLISHED
  TCP    10.0.1.39:52439        204.79.197.213:443     TIME_WAIT
  TCP    10.0.1.39:52441        65.52.108.204:443      ESTABLISHED
  TCP    10.0.1.39:52442        65.52.108.209:443      ESTABLISHED
  TCP    10.0.1.39:52444        64.4.54.254:443        ESTABLISHED
  TCP    10.0.135.14:52417      162.125.5.3:443        TIME_WAIT
  TCP    10.0.135.14:52420      65.52.108.212:443      TIME_WAIT
  TCP    10.0.135.14:52421      40.78.29.78:443        TIME_WAIT
  TCP    10.0.135.14:52422      65.52.108.228:443      TIME_WAIT
  TCP    10.0.135.14:52423      162.125.18.133:443     TIME_WAIT
  TCP    10.0.135.14:52425      162.125.18.133:443     TIME_WAIT
  TCP    10.0.135.14:52426      204.79.197.213:443     TIME_WAIT
  TCP    10.0.135.14:52427      162.125.18.133:443     ESTABLISHED
  TCP    10.0.135.14:52428      162.125.18.133:443     ESTABLISHED
  TCP    10.0.135.14:52429      52.179.156.56:443      TIME_WAIT
  TCP    10.0.135.14:52430      204.79.197.213:443     TIME_WAIT
  TCP    127.0.0.1:51161        127.0.0.1:51162        ESTABLISHED
  TCP    127.0.0.1:51162        127.0.0.1:51161        ESTABLISHED
  TCP    127.0.0.1:51164        127.0.0.1:51165        ESTABLISHED
  TCP    127.0.0.1:51165        127.0.0.1:51164        ESTABLISHED
  TCP    127.0.0.1:51166        127.0.0.1:51167        ESTABLISHED
  TCP    127.0.0.1:51167        127.0.0.1:51166        ESTABLISHED
