
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    127.0.0.1:1688         DESKTOP-3DS0N:59166    ESTABLISHED
  TCP    127.0.0.1:54233        DESKTOP-3DS0N:54234    ESTABLISHED
  TCP    127.0.0.1:54234        DESKTOP-3DS0N:54233    ESTABLISHED
  TCP    127.0.0.1:54239        DESKTOP-3DS0N:54240    ESTABLISHED
  TCP    127.0.0.1:54240        DESKTOP-3DS0N:54239    ESTABLISHED
  TCP    127.0.0.1:55262        DESKTOP-3DS0N:55263    ESTABLISHED
  TCP    127.0.0.1:55263        DESKTOP-3DS0N:55262    ESTABLISHED
  TCP    127.0.0.1:59166        DESKTOP-3DS0N:1688     ESTABLISHED
  TCP    192.168.10.101:2869    192.168.10.1:1059      TIME_WAIT
  TCP    192.168.10.101:2869    192.168.10.105:59253   TIME_WAIT
  TCP    192.168.10.101:54226   162.125.5.3:https      CLOSE_WAIT
  TCP    192.168.10.101:54242   162.125.5.7:https      CLOSE_WAIT
  TCP    192.168.10.101:54279   a104-79-241-80:https   CLOSE_WAIT
  TCP    192.168.10.101:54281   a23-32-32-82:https     ESTABLISHED
  TCP    192.168.10.101:54282   a23-32-32-82:https     CLOSE_WAIT
  TCP    192.168.10.101:54283   a23-32-32-82:https     CLOSE_WAIT
  TCP    192.168.10.101:54284   a23-32-32-82:https     CLOSE_WAIT
  TCP    192.168.10.101:54291   ec2-54-68-31-82:https  CLOSE_WAIT
  TCP    192.168.10.101:54352   bn4sch101123208:https  ESTABLISHED
  TCP    192.168.10.101:55920   msnbot-65-52-108-204:https  ESTABLISHED
  TCP    192.168.10.101:56346   cb-in-f188:5228        ESTABLISHED
  TCP    192.168.10.101:57509   157.55.235.152:33033   CLOSE_WAIT
  TCP    192.168.10.101:57868   13.107.42.11:https     ESTABLISHED
  TCP    192.168.10.101:58237   162.125.18.133:https   ESTABLISHED
  TCP    192.168.10.101:58255   ec2-34-199-173-160:https  CLOSE_WAIT
  TCP    192.168.10.101:58379   162.125.18.133:https   ESTABLISHED
  TCP    192.168.10.101:58801   162.125.32.5:https     CLOSE_WAIT
  TCP    192.168.10.101:58850   57:http                TIME_WAIT
  TCP    192.168.10.101:58969   b1:https               ESTABLISHED
  TCP    192.168.10.101:59013   rio01s21-in-f14:https  TIME_WAIT
  TCP    192.168.10.101:59020   msnbot-65-52-108-209:https  ESTABLISHED
  TCP    192.168.10.101:59037   c2:http                ESTABLISHED
  TCP    192.168.10.101:59054   200-157-208-241:https  ESTABLISHED
  TCP    192.168.10.101:59081   40.117.145.132:https   ESTABLISHED
  TCP    192.168.10.101:59093   65.55.252.169:https    ESTABLISHED
  TCP    192.168.10.101:59115   a104-80-37-143:https   FIN_WAIT_2
  TCP    192.168.10.101:59120   a104-80-37-143:https   CLOSE_WAIT
  TCP    192.168.10.101:59149   40.122.162.208:https   ESTABLISHED
  TCP    192.168.10.101:59152   192.168.10.111:http    TIME_WAIT
  TCP    192.168.10.101:59157   192.168.10.1:52881     TIME_WAIT
  TCP    192.168.10.101:59160   64.4.54.254:https      TIME_WAIT
  TCP    192.168.10.101:59161   40.77.16.143:https     ESTABLISHED
  TCP    192.168.10.101:59162   40.77.16.143:https     ESTABLISHED
  TCP    192.168.10.101:59163   162.125.5.3:https      CLOSE_WAIT
  TCP    192.168.10.101:59164   192.16.48.200:https    ESTABLISHED
  TCP    192.168.10.101:59165   192.16.48.200:https    CLOSE_WAIT
  TCP    [::1]:59151            DESKTOP-3DS0N:icslap   TIME_WAIT
  TCP    [fe80::b5ce:5fa3:84c3:5189%23]:445  DESKTOP-3DS0N:55916    ESTABLISHED
  TCP    [fe80::b5ce:5fa3:84c3:5189%23]:55916  DESKTOP-3DS0N:microsoft-ds  ESTABLISHED
